80,60,1
15,30,2
40,50,0
45,55,0
50,34,2
70,40,1
68,45,1
65,50,1
54,45,2
40,38,2
50,53,0
67,50,1
68,50,1
55,36,2
65,61,1
66,35,1
48,36,2
58,52,0
90,67,1
47,57,0
50,50,0
37,31,2
60,40,2
84,40,1
66,57,1
54,52,0
95,14,2
54,50,0
14,35,2
64,23,2
67,54,1
30,40,0
20,60,0
30,20,2
80,90,1
20,20,2
50,50,0
20,60,2
45,80,0
10,40,2
100,100,1
35,70,1
10,10,2
5,15,2
15,20,2
10,90,0
20,90,0
20,100,1
30,30,2
20,40,1
50,50,2
55,30,1
10,10,2
50,50,0
45,35,0
90,80,1
25,20,0
50,50,1
20,20,2
45,45,0
50,50,1
