80,60,1,3
15,30,1,2
40,50,0,0
45,55,1,0
51,32,0,0
50,34,1,2
70,40,1,3
68,45,0,1
65,50,1,1
54,45,1,0
46,54,1,0
40,38,1,2
50,53,0,0
67,50,1,1
68,50,0,1
55,36,1,2
65,61,1,1
66,35,1,2
48,36,1,2
58,52,0,0
90,67,1,1
47,57,0,0
50,50,1,0
37,31,0,0
60,40,1,3
84,40,1,3
66,57,1,1
54,52,1,1
95,14,1,1
54,50,0,0
14,35,1,2
64,23,1,3
67,54,0,1
30,40,0,0
20,60,1,0
30,20,0,0
80,90,0,1
20,20,1,2
50,50,1,0
20,60,1,0
45,80,0,0
10,40,1,40
100,100,1,1
35,70,1,0
60,10,1,3
5,15,1,2
15,20,0,0
10,90,1,1
20,90,0,0
20,100,0,0
30,30,1,2
20,40,1,2
50,50,1,0
68,27,0,1
65,30,1,3
10,10,1,2
50,50,1,1
45,35,0,0
90,80,1,1
25,20,1,0
70,42,1,3
20,20,0,0
45,45,1,0
50,50,1,0
47,20,0,0
39,30,1,2
80,10,1,3
